행사장,정류장,행사장_지역,정류장_지역,귀가행 소요시간,쿠션시간,행사장행_소요시간
(예정)고양종합운동장 주경기장,동탄역 2번출구 앞 버스정류장,경기도,경기도,140,20,160
(예정)고양종합운동장 주경기장,미금역 4번 출구 앞 성남고용복지플러스센터,경기도,경기도,110,20,130
(예정)고양종합운동장 주경기장,수원역 지하상가 13번출구 앞 공항버스 정류장,경기도,경기도,90,20,110
(예정)고양종합운동장 주경기장,영통역 1번 출구 앞,경기도,경기도,130,20,150
(예정)고양종합운동장 주경기장,중앙역 2번출구 앞 횡단보도,경기도,경기도,80,20,100
(예정)고양종합운동장 주경기장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,경기도,광주광역시,250,40,290
(예정)고양종합운동장 주경기장,반월당역 18번 출구 더현대 대구 앞,경기도,대구광역시,250,50,300
(예정)고양종합운동장 주경기장,용산역 5번 출구 뒤 20m,경기도,대구광역시,230,50,280
(예정)고양종합운동장 주경기장,대전 복합터미널 건너편 대덕약국,경기도,대전광역시,200,30,230
(예정)고양종합운동장 주경기장,대전 시청역 4번출구 앞,경기도,대전광역시,220,30,250
(예정)고양종합운동장 주경기장,동래역 3번 출구 150M 앞,경기도,부산광역시,290,60,350
(예정)고양종합운동장 주경기장,서면역 12번 출구 앞,경기도,부산광역시,310,60,370
(예정)고양종합운동장 주경기장,노원역 와우패션클럽 망고식스 앞,경기도,서울특별시,50,20,70
(예정)고양종합운동장 주경기장,서울역 15번 출구 도보 150M 윤슬공원 앞,경기도,서울특별시,50,20,70
(예정)고양종합운동장 주경기장,잠실역 제타플렉스 앞,경기도,서울특별시,80,20,100
(예정)고양종합운동장 주경기장,합정역 8번출구 60M 앞,경기도,서울특별시,30,20,50
(예정)고양종합운동장 주경기장,부평역 7번 출구 노브랜드버거 앞,경기도,인천광역시,50,20,70
고양종합운동장,동탄역 2번출구 앞 버스정류장,경기도,경기도,140,20,160
고양종합운동장,미금역 4번 출구 앞 성남고용복지플러스센터,경기도,경기도,110,20,130
고양종합운동장,수원역 지하상가 13번출구 앞 공항버스 정류장,경기도,경기도,90,20,110
고양종합운동장,영통역 1번 출구 앞,경기도,경기도,130,20,150
고양종합운동장,중앙역 2번출구 앞 횡단보도,경기도,경기도,80,20,100
고양종합운동장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,경기도,광주광역시,250,40,290
고양종합운동장,반월당역 18번 출구 더현대 대구 앞,경기도,대구광역시,250,50,300
고양종합운동장,용산역 5번 출구 뒤 20m,경기도,대구광역시,230,50,280
고양종합운동장,대전 복합터미널 건너편 대덕약국,경기도,대전광역시,200,30,230
고양종합운동장,대전 시청역 4번출구 앞,경기도,대전광역시,220,30,250
고양종합운동장,동래역 3번 출구 150M 앞,경기도,부산광역시,290,60,350
고양종합운동장,서면역 12번 출구 앞,경기도,부산광역시,310,60,370
고양종합운동장,노원역 와우패션클럽 망고식스 앞,경기도,서울특별시,50,20,70
고양종합운동장,서울역 15번 출구 도보 150M 윤슬공원 앞,경기도,서울특별시,50,20,70
고양종합운동장,잠실역 제타플렉스 앞,경기도,서울특별시,80,20,100
고양종합운동장,합정역 8번출구 60M 앞,경기도,서울특별시,30,20,50
고양종합운동장,부평역 7번 출구 노브랜드버거 앞,경기도,인천광역시,50,20,70
킨텍스 제1전시장,동탄역 2번출구 앞 버스정류장,경기도,경기도,140,20,160
킨텍스 제1전시장,미금역 4번 출구 앞 성남고용복지플러스센터,경기도,경기도,110,20,130
킨텍스 제1전시장,수원역 지하상가 13번출구 앞 공항버스 정류장,경기도,경기도,90,20,110
킨텍스 제1전시장,영통역 1번 출구 앞,경기도,경기도,130,20,150
킨텍스 제1전시장,중앙역 2번출구 앞 횡단보도,경기도,경기도,80,20,100
킨텍스 제1전시장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,경기도,광주광역시,250,40,290
킨텍스 제1전시장,반월당역 18번 출구 더현대 대구 앞,경기도,대구광역시,250,50,300
킨텍스 제1전시장,용산역 5번 출구 뒤 20m,경기도,대구광역시,230,50,280
킨텍스 제1전시장,대전 복합터미널 건너편 대덕약국,경기도,대전광역시,200,30,230
킨텍스 제1전시장,대전 시청역 4번출구 앞,경기도,대전광역시,220,30,250
킨텍스 제1전시장,동래역 3번 출구 150M 앞,경기도,부산광역시,290,60,350
킨텍스 제1전시장,서면역 12번 출구 앞,경기도,부산광역시,310,60,370
킨텍스 제1전시장,노원역 와우패션클럽 망고식스 앞,경기도,서울특별시,50,20,70
킨텍스 제1전시장,서울역 15번 출구 도보 150M 윤슬공원 앞,경기도,서울특별시,50,20,70
킨텍스 제1전시장,잠실역 제타플렉스 앞,경기도,서울특별시,80,20,100
킨텍스 제1전시장,합정역 8번출구 60M 앞,경기도,서울특별시,30,20,50
킨텍스 제1전시장,부평역 7번 출구 노브랜드버거 앞,경기도,인천광역시,50,20,70
킨텍스 제2전시장,동탄역 2번출구 앞 버스정류장,경기도,경기도,140,20,160
킨텍스 제2전시장,미금역 4번 출구 앞 성남고용복지플러스센터,경기도,경기도,110,20,130
킨텍스 제2전시장,수원역 지하상가 13번출구 앞 공항버스 정류장,경기도,경기도,90,20,110
킨텍스 제2전시장,영통역 1번 출구 앞,경기도,경기도,130,20,150
킨텍스 제2전시장,중앙역 2번출구 앞 횡단보도,경기도,경기도,80,20,100
킨텍스 제2전시장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,경기도,광주광역시,250,40,290
킨텍스 제2전시장,반월당역 18번 출구 더현대 대구 앞,경기도,대구광역시,250,50,300
킨텍스 제2전시장,용산역 5번 출구 뒤 20m,경기도,대구광역시,230,50,280
킨텍스 제2전시장,대전 복합터미널 건너편 대덕약국,경기도,대전광역시,200,30,230
킨텍스 제2전시장,대전 시청역 4번출구 앞,경기도,대전광역시,220,30,250
킨텍스 제2전시장,동래역 3번 출구 150M 앞,경기도,부산광역시,290,60,350
킨텍스 제2전시장,서면역 12번 출구 앞,경기도,부산광역시,310,60,370
킨텍스 제2전시장,노원역 와우패션클럽 망고식스 앞,경기도,서울특별시,50,20,70
킨텍스 제2전시장,서울역 15번 출구 도보 150M 윤슬공원 앞,경기도,서울특별시,50,20,70
킨텍스 제2전시장,잠실역 제타플렉스 앞,경기도,서울특별시,80,20,100
킨텍스 제2전시장,합정역 8번출구 60M 앞,경기도,서울특별시,30,20,50
킨텍스 제2전시장,부평역 7번 출구 노브랜드버거 앞,경기도,인천광역시,50,20,70
고척스카이돔,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,80,20,100
고척스카이돔,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,70,20,90
고척스카이돔,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,50,20,70
고척스카이돔,영통역 1번 출구 앞,서울특별시,경기도,80,20,100
고척스카이돔,중앙역 2번출구 앞 횡단보도,서울특별시,경기도,60,20,80
고척스카이돔,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,230,40,270
고척스카이돔,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,240,40,280
고척스카이돔,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,260,40,300
고척스카이돔,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,170,30,200
고척스카이돔,대전 시청역 4번출구 앞,서울특별시,대전광역시,190,30,220
고척스카이돔,동래역 3번 출구 150M 앞,서울특별시,부산광역시,290,60,350
고척스카이돔,서면역 12번 출구 앞,서울특별시,부산광역시,310,60,370
고척스카이돔,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,80,20,100
고척스카이돔,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,40,20,60
고척스카이돔,잠실역 제타플렉스 앞,서울특별시,서울특별시,70,20,90
고척스카이돔,합정역 8번출구 60M 앞,서울특별시,서울특별시,20,20,40
고척스카이돔,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,50,20,70
경희대학교 서울캠퍼스 평화의전당,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,110,20,130
경희대학교 서울캠퍼스 평화의전당,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,80,20,100
경희대학교 서울캠퍼스 평화의전당,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,100,20,120
경희대학교 서울캠퍼스 평화의전당,영통역 1번 출구 앞,서울특별시,경기도,100,20,120
경희대학교 서울캠퍼스 평화의전당,중앙역 2번출구 앞 횡단보도,서울특별시,경기도,120,20,140
경희대학교 서울캠퍼스 평화의전당,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,260,40,300
경희대학교 서울캠퍼스 평화의전당,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,240,40,280
경희대학교 서울캠퍼스 평화의전당,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,220,40,260
경희대학교 서울캠퍼스 평화의전당,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,160,30,190
경희대학교 서울캠퍼스 평화의전당,대전 시청역 4번출구 앞,서울특별시,대전광역시,180,30,210
경희대학교 서울캠퍼스 평화의전당,동래역 3번 출구 150M 앞,서울특별시,부산광역시,280,60,340
경희대학교 서울캠퍼스 평화의전당,서면역 12번 출구 앞,서울특별시,부산광역시,300,60,360
경희대학교 서울캠퍼스 평화의전당,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,30,20,50
경희대학교 서울캠퍼스 평화의전당,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,60,20,80
경희대학교 서울캠퍼스 평화의전당,잠실역 제타플렉스 앞,서울특별시,서울특별시,40,20,60
경희대학교 서울캠퍼스 평화의전당,합정역 8번출구 60M 앞,서울특별시,서울특별시,50,20,70
경희대학교 서울캠퍼스 평화의전당,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,90,20,110
난지한강공원,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,120,20,140
난지한강공원,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,90,20,110
난지한강공원,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,70,20,90
난지한강공원,영통역 1번 출구 앞,서울특별시,경기도,110,20,130
난지한강공원,중앙역 2번출구 앞 횡단보도,서울특별시,경기도,70,20,90
난지한강공원,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,240,40,280
난지한강공원,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,260,40,300
난지한강공원,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,240,40,280
난지한강공원,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,210,30,240
난지한강공원,대전 시청역 4번출구 앞,서울특별시,대전광역시,230,30,260
난지한강공원,동래역 3번 출구 150M 앞,서울특별시,부산광역시,300,60,360
난지한강공원,서면역 12번 출구 앞,서울특별시,부산광역시,320,60,380
난지한강공원,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,70,20,90
난지한강공원,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,30,20,50
난지한강공원,잠실역 제타플렉스 앞,서울특별시,서울특별시,60,20,80
난지한강공원,합정역 8번출구 60M 앞,서울특별시,서울특별시,20,20,40
난지한강공원,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,50,20,70
서울월드컵경기장,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,110,20,130
서울월드컵경기장,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,80,20,100
서울월드컵경기장,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,60,20,80
서울월드컵경기장,영통역 1번 출구 앞,서울특별시,경기도,100,20,120
서울월드컵경기장,중앙역 2번출구 앞 횡단보도,서울특별시,경기도,60,20,80
서울월드컵경기장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,240,40,280
서울월드컵경기장,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,250,40,290
서울월드컵경기장,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,240,40,280
서울월드컵경기장,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,200,30,230
서울월드컵경기장,대전 시청역 4번출구 앞,서울특별시,대전광역시,220,30,250
서울월드컵경기장,동래역 3번 출구 150M 앞,서울특별시,부산광역시,290,60,350
서울월드컵경기장,서면역 12번 출구 앞,서울특별시,부산광역시,310,60,370
서울월드컵경기장,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,60,20,80
서울월드컵경기장,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,30,20,50
서울월드컵경기장,잠실역 제타플렉스 앞,서울특별시,서울특별시,60,20,80
서울월드컵경기장,합정역 8번출구 60M 앞,서울특별시,서울특별시,10,20,30
서울월드컵경기장,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,50,20,70
KSPO DOME,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,60,20,80
KSPO DOME,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,40,20,60
KSPO DOME,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,60,20,80
KSPO DOME,영통역 1번 출구 앞,서울특별시,경기도,50,20,70
KSPO DOME,중앙역 2번출구 앞 횡단보도,서울특별시,경기도,70,20,90
KSPO DOME,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,220,40,260
KSPO DOME,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,210,40,250
KSPO DOME,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,190,40,230
KSPO DOME,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,150,30,180
KSPO DOME,대전 시청역 4번출구 앞,서울특별시,대전광역시,170,30,200
KSPO DOME,동래역 3번 출구 150M 앞,서울특별시,부산광역시,270,60,330
KSPO DOME,서면역 12번 출구 앞,서울특별시,부산광역시,290,60,350
KSPO DOME,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,40,20,60
KSPO DOME,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,60,20,80
KSPO DOME,잠실역 제타플렉스 앞,서울특별시,서울특별시,20,20,40
KSPO DOME,합정역 8번출구 60M 앞,서울특별시,서울특별시,50,20,70
KSPO DOME,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,80,20,100
올림픽공원 올림픽홀,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,60,20,80
올림픽공원 올림픽홀,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,40,20,60
올림픽공원 올림픽홀,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,60,20,80
올림픽공원 올림픽홀,영통역 1번 출구 앞,서울특별시,경기도,50,20,70
올림픽공원 올림픽홀,중앙역 2번출구 앞 횡단보도,서울특별시,경기도,70,20,90
올림픽공원 올림픽홀,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,220,40,260
올림픽공원 올림픽홀,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,210,40,250
올림픽공원 올림픽홀,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,190,40,230
올림픽공원 올림픽홀,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,150,30,180
올림픽공원 올림픽홀,대전 시청역 4번출구 앞,서울특별시,대전광역시,170,30,200
