행사장,정류장,행사장_지역,정류장_지역,귀가행 소요시간,쿠션시간,행사장행_소요시간
올림픽공원 올림픽홀,동래역 3번 출구 150M 앞,서울특별시,부산광역시,270,60,330
올림픽공원 올림픽홀,서면역 12번 출구 앞,서울특별시,부산광역시,290,60,350
올림픽공원 올림픽홀,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,40,20,60
올림픽공원 올림픽홀,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,60,20,80
올림픽공원 올림픽홀,잠실역 제타플렉스 앞,서울특별시,서울특별시,20,20,40
올림픽공원 올림픽홀,합정역 8번출구 60M 앞,서울특별시,서울특별시,50,20,70
올림픽공원 올림픽홀,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,80,20,100
올림픽공원 핸드볼경기장,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,60,20,80
올림픽공원 핸드볼경기장,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,40,20,60
올림픽공원 핸드볼경기장,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,60,20,80
올림픽공원 핸드볼경기장,영통역 1번 출구 앞,서울특별시,경기도,50,20,70
올림픽공원 핸드볼경기장,중앙역 2번출구 앞 횡단보도,서울특별시,경기도,70,20,90
올림픽공원 핸드볼경기장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,220,40,260
올림픽공원 핸드볼경기장,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,210,40,250
올림픽공원 핸드볼경기장,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,190,40,230
올림픽공원 핸드볼경기장,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,150,30,180
올림픽공원 핸드볼경기장,대전 시청역 4번출구 앞,서울특별시,대전광역시,170,30,200
올림픽공원 핸드볼경기장,동래역 3번 출구 150M 앞,서울특별시,부산광역시,270,60,330
올림픽공원 핸드볼경기장,서면역 12번 출구 앞,서울특별시,부산광역시,290,60,350
올림픽공원 핸드볼경기장,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,40,20,60
올림픽공원 핸드볼경기장,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,60,20,80
올림픽공원 핸드볼경기장,잠실역 제타플렉스 앞,서울특별시,서울특별시,20,20,40
올림픽공원 핸드볼경기장,합정역 8번출구 60M 앞,서울특별시,서울특별시,50,20,70
올림픽공원 핸드볼경기장,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,80,20,100
잠실 실내체육관,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,60,20,80
잠실 실내체육관,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,40,20,60
잠실 실내체육관,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,70,20,90
잠실 실내체육관,영통역 1번 출구 앞,서울특별시,경기도,60,20,80
잠실 실내체육관,중앙역 2번출구 앞 횡단보도,서울특별시,경기도,70,20,90
잠실 실내체육관,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,240,40,280
잠실 실내체육관,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,220,40,260
잠실 실내체육관,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,200,40,240
잠실 실내체육관,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,160,30,190
잠실 실내체육관,대전 시청역 4번출구 앞,서울특별시,대전광역시,180,30,210
잠실 실내체육관,동래역 3번 출구 150M 앞,서울특별시,부산광역시,270,60,330
잠실 실내체육관,서면역 12번 출구 앞,서울특별시,부산광역시,290,60,350
잠실 실내체육관,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,40,20,60
잠실 실내체육관,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,50,20,70
잠실 실내체육관,잠실역 제타플렉스 앞,서울특별시,서울특별시,10,20,30
잠실 실내체육관,합정역 8번출구 60M 앞,서울특별시,서울특별시,50,20,70
잠실 실내체육관,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,90,20,110
블루스퀘어,동탄역 2번출구 앞 버스정류장,서울특별시,경기도,90,20,110
블루스퀘어,미금역 4번 출구 앞 성남고용복지플러스센터,서울특별시,경기도,70,20,90
블루스퀘어,수원역 지하상가 13번출구 앞 공항버스 정류장,서울특별시,경기도,80,20,100
블루스퀘어,영통역 1번 출구 앞,서울특별시,경기도,80,20,100
블루스퀘어,중앙역 2번출구 앞 횡단보도,서울특별시,경기도,90,20,110
블루스퀘어,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,서울특별시,광주광역시,240,40,280
블루스퀘어,반월당역 18번 출구 더현대 대구 앞,서울특별시,대구광역시,230,40,270
블루스퀘어,용산역 5번 출구 뒤 20m,서울특별시,대구광역시,250,40,290
블루스퀘어,대전 복합터미널 건너편 대덕약국,서울특별시,대전광역시,180,30,210
블루스퀘어,대전 시청역 4번출구 앞,서울특별시,대전광역시,200,30,230
블루스퀘어,동래역 3번 출구 150M 앞,서울특별시,부산광역시,280,60,340
블루스퀘어,서면역 12번 출구 앞,서울특별시,부산광역시,300,60,360
블루스퀘어,노원역 와우패션클럽 망고식스 앞,서울특별시,서울특별시,70,20,90
블루스퀘어,서울역 15번 출구 도보 150M 윤슬공원 앞,서울특별시,서울특별시,30,20,50
블루스퀘어,잠실역 제타플렉스 앞,서울특별시,서울특별시,50,20,70
블루스퀘어,합정역 8번출구 60M 앞,서울특별시,서울특별시,40,20,60
블루스퀘어,부평역 7번 출구 노브랜드버거 앞,서울특별시,인천광역시,80,20,100
인천문학경기장 동문광장,동탄역 2번출구 앞 버스정류장,인천광역시,경기도,90,20,110
인천문학경기장 동문광장,미금역 4번 출구 앞 성남고용복지플러스센터,인천광역시,경기도,70,20,90
인천문학경기장 동문광장,수원역 지하상가 13번출구 앞 공항버스 정류장,인천광역시,경기도,60,20,80
인천문학경기장 동문광장,영통역 1번 출구 앞,인천광역시,경기도,80,20,100
인천문학경기장 동문광장,중앙역 2번출구 앞 횡단보도,인천광역시,경기도,50,20,70
인천문학경기장 동문광장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,인천광역시,광주광역시,230,50,280
인천문학경기장 동문광장,반월당역 18번 출구 더현대 대구 앞,인천광역시,대구광역시,250,50,300
인천문학경기장 동문광장,용산역 5번 출구 뒤 20m,인천광역시,대구광역시,240,50,290
인천문학경기장 동문광장,대전 복합터미널 건너편 대덕약국,인천광역시,대전광역시,190,30,220
인천문학경기장 동문광장,대전 시청역 4번출구 앞,인천광역시,대전광역시,210,30,240
인천문학경기장 동문광장,동래역 3번 출구 150M 앞,인천광역시,부산광역시,290,60,350
인천문학경기장 동문광장,서면역 12번 출구 앞,인천광역시,부산광역시,310,60,370
인천문학경기장 동문광장,노원역 와우패션클럽 망고식스 앞,인천광역시,서울특별시,110,30,140
인천문학경기장 동문광장,서울역 15번 출구 도보 150M 윤슬공원 앞,인천광역시,서울특별시,80,20,100
인천문학경기장 동문광장,잠실역 제타플렉스 앞,인천광역시,서울특별시,90,20,110
인천문학경기장 동문광장,합정역 8번출구 60M 앞,인천광역시,서울특별시,80,20,100
인천문학경기장 동문광장,부평역 7번 출구 노브랜드버거 앞,인천광역시,인천광역시,30,20,50
인천문학경기장 주경기장,동탄역 2번출구 앞 버스정류장,인천광역시,경기도,90,20,110
인천문학경기장 주경기장,미금역 4번 출구 앞 성남고용복지플러스센터,인천광역시,경기도,70,20,90
인천문학경기장 주경기장,수원역 지하상가 13번출구 앞 공항버스 정류장,인천광역시,경기도,60,20,80
인천문학경기장 주경기장,영통역 1번 출구 앞,인천광역시,경기도,80,20,100
인천문학경기장 주경기장,중앙역 2번출구 앞 횡단보도,인천광역시,경기도,50,20,70
인천문학경기장 주경기장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,인천광역시,광주광역시,240,50,290
인천문학경기장 주경기장,반월당역 18번 출구 더현대 대구 앞,인천광역시,대구광역시,250,50,300
인천문학경기장 주경기장,용산역 5번 출구 뒤 20m,인천광역시,대구광역시,250,50,300
인천문학경기장 주경기장,대전 복합터미널 건너편 대덕약국,인천광역시,대전광역시,190,30,220
인천문학경기장 주경기장,대전 시청역 4번출구 앞,인천광역시,대전광역시,210,30,240
인천문학경기장 주경기장,동래역 3번 출구 150M 앞,인천광역시,부산광역시,290,60,350
인천문학경기장 주경기장,서면역 12번 출구 앞,인천광역시,부산광역시,310,60,370
인천문학경기장 주경기장,노원역 와우패션클럽 망고식스 앞,인천광역시,서울특별시,110,20,130
인천문학경기장 주경기장,서울역 15번 출구 도보 150M 윤슬공원 앞,인천광역시,서울특별시,80,20,100
인천문학경기장 주경기장,잠실역 제타플렉스 앞,인천광역시,서울특별시,90,20,110
인천문학경기장 주경기장,합정역 8번출구 60M 앞,인천광역시,서울특별시,80,20,100
인천문학경기장 주경기장,부평역 7번 출구 노브랜드버거 앞,인천광역시,인천광역시,30,20,50
인천아시아드주경기장,동탄역 2번출구 앞 버스정류장,인천광역시,경기도,90,20,110
인천아시아드주경기장,미금역 4번 출구 앞 성남고용복지플러스센터,인천광역시,경기도,90,20,110
인천아시아드주경기장,수원역 지하상가 13번출구 앞 공항버스 정류장,인천광역시,경기도,90,20,110
인천아시아드주경기장,영통역 1번 출구 앞,인천광역시,경기도,110,20,130
인천아시아드주경기장,중앙역 2번출구 앞 횡단보도,인천광역시,경기도,80,20,100
인천아시아드주경기장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,인천광역시,광주광역시,250,50,300
인천아시아드주경기장,반월당역 18번 출구 더현대 대구 앞,인천광역시,대구광역시,260,50,310
인천아시아드주경기장,용산역 5번 출구 뒤 20m,인천광역시,대구광역시,240,50,290
인천아시아드주경기장,대전 복합터미널 건너편 대덕약국,인천광역시,대전광역시,200,30,230
인천아시아드주경기장,대전 시청역 4번출구 앞,인천광역시,대전광역시,220,30,250
인천아시아드주경기장,동래역 3번 출구 150M 앞,인천광역시,부산광역시,320,60,380
인천아시아드주경기장,서면역 12번 출구 앞,인천광역시,부산광역시,340,60,400
인천아시아드주경기장,노원역 와우패션클럽 망고식스 앞,인천광역시,서울특별시,60,20,80
인천아시아드주경기장,서울역 15번 출구 도보 150M 윤슬공원 앞,인천광역시,서울특별시,60,20,80
인천아시아드주경기장,잠실역 제타플렉스 앞,인천광역시,서울특별시,90,20,110
인천아시아드주경기장,합정역 8번출구 60M 앞,인천광역시,서울특별시,40,20,60
인천아시아드주경기장,부평역 7번 출구 노브랜드버거 앞,인천광역시,인천광역시,40,20,60
인스파이어 아레나,동탄역 2번출구 앞 버스정류장,인천광역시,경기도,100,20,120
인스파이어 아레나,미금역 4번 출구 앞 성남고용복지플러스센터,인천광역시,경기도,90,20,110
인스파이어 아레나,수원역 지하상가 13번출구 앞 공항버스 정류장,인천광역시,경기도,90,20,110
인스파이어 아레나,영통역 1번 출구 앞,인천광역시,경기도,100,20,120
인스파이어 아레나,중앙역 2번출구 앞 횡단보도,인천광역시,경기도,70,20,90
인스파이어 아레나,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,인천광역시,광주광역시,240,50,290
인스파이어 아레나,반월당역 18번 출구 더현대 대구 앞,인천광역시,대구광역시,270,50,320
인스파이어 아레나,용산역 5번 출구 뒤 20m,인천광역시,대구광역시,260,50,310
인스파이어 아레나,대전 복합터미널 건너편 대덕약국,인천광역시,대전광역시,200,30,230
인스파이어 아레나,대전 시청역 4번출구 앞,인천광역시,대전광역시,220,30,250
인스파이어 아레나,동래역 3번 출구 150M 앞,인천광역시,부산광역시,310,60,370
인스파이어 아레나,서면역 12번 출구 앞,인천광역시,부산광역시,330,60,390
인스파이어 아레나,노원역 와우패션클럽 망고식스 앞,인천광역시,서울특별시,70,20,90
인스파이어 아레나,서울역 15번 출구 도보 150M 윤슬공원 앞,인천광역시,서울특별시,70,20,90
인스파이어 아레나,잠실역 제타플렉스 앞,인천광역시,서울특별시,100,20,120
인스파이어 아레나,합정역 8번출구 60M 앞,인천광역시,서울특별시,50,20,70
인스파이어 아레나,부평역 7번 출구 노브랜드버거 앞,인천광역시,인천광역시,60,20,80
인천 상상플랫폼 야외광장,동탄역 2번출구 앞 버스정류장,인천광역시,경기도,110,20,130
인천 상상플랫폼 야외광장,미금역 4번 출구 앞 성남고용복지플러스센터,인천광역시,경기도,90,20,110
인천 상상플랫폼 야외광장,수원역 지하상가 13번출구 앞 공항버스 정류장,인천광역시,경기도,80,20,100
인천 상상플랫폼 야외광장,영통역 1번 출구 앞,인천광역시,경기도,100,20,120
인천 상상플랫폼 야외광장,중앙역 2번출구 앞 횡단보도,인천광역시,경기도,60,20,80
인천 상상플랫폼 야외광장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,인천광역시,광주광역시,250,50,300
인천 상상플랫폼 야외광장,반월당역 18번 출구 더현대 대구 앞,인천광역시,대구광역시,270,50,320
인천 상상플랫폼 야외광장,용산역 5번 출구 뒤 20m,인천광역시,대구광역시,260,50,310
인천 상상플랫폼 야외광장,대전 복합터미널 건너편 대덕약국,인천광역시,대전광역시,200,30,230
인천 상상플랫폼 야외광장,대전 시청역 4번출구 앞,인천광역시,대전광역시,220,30,250
인천 상상플랫폼 야외광장,동래역 3번 출구 150M 앞,인천광역시,부산광역시,300,60,360
인천 상상플랫폼 야외광장,서면역 12번 출구 앞,인천광역시,부산광역시,320,60,380
인천 상상플랫폼 야외광장,노원역 와우패션클럽 망고식스 앞,인천광역시,서울특별시,90,20,110
인천 상상플랫폼 야외광장,서울역 15번 출구 도보 150M 윤슬공원 앞,인천광역시,서울특별시,70,20,90
인천 상상플랫폼 야외광장,잠실역 제타플렉스 앞,인천광역시,서울특별시,110,20,130
인천 상상플랫폼 야외광장,합정역 8번출구 60M 앞,인천광역시,서울특별시,70,20,90
인천 상상플랫폼 야외광장,부평역 7번 출구 노브랜드버거 앞,인천광역시,인천광역시,50,20,70
인천 파라다이스 시티,동탄역 2번출구 앞 버스정류장,인천광역시,경기도,100,20,120
인천 파라다이스 시티,미금역 4번 출구 앞 성남고용복지플러스센터,인천광역시,경기도,90,20,110
인천 파라다이스 시티,수원역 지하상가 13번출구 앞 공항버스 정류장,인천광역시,경기도,80,20,100
인천 파라다이스 시티,영통역 1번 출구 앞,인천광역시,경기도,100,20,120
인천 파라다이스 시티,중앙역 2번출구 앞 횡단보도,인천광역시,경기도,70,20,90
인천 파라다이스 시티,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,인천광역시,광주광역시,240,50,290
인천 파라다이스 시티,반월당역 18번 출구 더현대 대구 앞,인천광역시,대구광역시,270,50,320
인천 파라다이스 시티,용산역 5번 출구 뒤 20m,인천광역시,대구광역시,250,50,300
인천 파라다이스 시티,대전 복합터미널 건너편 대덕약국,인천광역시,대전광역시,200,30,230
인천 파라다이스 시티,대전 시청역 4번출구 앞,인천광역시,대전광역시,220,30,250
인천 파라다이스 시티,동래역 3번 출구 150M 앞,인천광역시,부산광역시,310,60,370
인천 파라다이스 시티,서면역 12번 출구 앞,인천광역시,부산광역시,330,60,390
인천 파라다이스 시티,노원역 와우패션클럽 망고식스 앞,인천광역시,서울특별시,80,20,100
인천 파라다이스 시티,서울역 15번 출구 도보 150M 윤슬공원 앞,인천광역시,서울특별시,70,20,90
인천 파라다이스 시티,잠실역 제타플렉스 앞,인천광역시,서울특별시,110,20,130
인천 파라다이스 시티,합정역 8번출구 60M 앞,인천광역시,서울특별시,50,20,70
인천 파라다이스 시티,부평역 7번 출구 노브랜드버거 앞,인천광역시,인천광역시,60,20,80